,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Actor
15,-281.4213,102.033516,-1.0478936,40.31231,19.772642,12.16956,-5.6807685,13.0747385,-6.6931534,8.6294365,-13.002686,4.055198,-5.383671,-2.0076435,-1.1695975,3.6189415,-6.7424283,1.6730411,-2.5195053,-3.2721746,-7.1880994,-0.2091372,-6.4515653,-0.94659466,-3.7211893,0.04034344,-5.4097147,-4.0153766,-3.693912,-2.3673775,-3.3707588,-3.3450294,-2.0935159,-1.1869848,-3.3161695,-2.3754258,-2.5175202,-2.4058561,-0.07956557,-2.3173335,Ajith
16,-155.05739,89.84434,-33.03708,21.274231,-9.405067,6.2478366,-11.779131,9.798064,-18.08926,8.351876,-9.260949,6.3937182,-4.480693,-2.8631952,-10.467165,2.421288,-10.023793,1.8129145,-2.5084405,0.10300732,-5.893925,1.077952,-7.212671,0.1445283,-1.3220236,0.7761766,0.14862524,1.4407595,-4.0175014,0.43858323,-1.417308,-0.56032765,-1.3004816,-1.2518588,-1.2435974,-0.6719299,-1.5902014,-0.675778,-2.0722146,-1.6982588,Ajith
17,-193.3068,95.31605,-12.583851,31.41561,-3.629561,5.6291175,-13.364819,13.425908,-12.823398,9.434005,-16.229704,7.9651766,-6.7570457,3.0654454,-10.386369,5.501056,-10.405431,4.107766,-6.609798,0.30204973,-6.555896,1.2686272,-1.8593496,2.8493211,-1.7690021,-2.10146,-8.395892,-2.1635365,-4.281363,-0.3733517,-1.4007818,0.78158826,-1.312278,-1.1076038,-2.0692518,0.057960123,-0.295537,-3.313038,-2.3109257,0.5998063,Ajith
18,-209.8019,120.051544,-18.753597,28.297361,-11.161493,3.5444088,-6.197923,13.25474,-17.345201,10.431307,-11.545099,9.710972,-5.897749,2.0200322,-4.0780263,6.5255003,-8.221438,3.250043,-8.723263,-4.243611,-6.155553,2.9541998,-1.0790539,1.4952239,-4.734163,-3.2693782,-4.8220096,-5.4530296,-4.189077,-0.047838755,5.111276,2.7908993,-1.5101721,-4.496318,-2.0933182,-2.2714295,-1.2811749,-1.6930038,-1.499233,-1.0927887,Ajith
19,-186.39197,112.97469,-16.741285,25.588808,-6.6260962,5.785542,-8.109422,10.839301,-16.457903,7.8819513,-17.645887,8.697686,-5.0426946,4.763105,-1.5151244,3.4788928,-12.610604,-0.18770595,-4.916946,-1.3213961,-8.229375,-1.6273699,-6.255665,-0.37572503,-3.2698746,-0.967872,-1.45023,-0.41664705,-2.4659917,-4.801129,-4.136937,1.274595,0.47309318,-1.6520998,-3.1605,-3.9566839,-3.0977957,-4.2450047,-0.8314437,-1.3377391,Ajith
20,-188.53693,106.65048,-9.564629,28.841677,-4.669225,6.0079947,-11.255118,11.072985,-12.889381,14.461091,-10.289054,7.3760166,-8.5391245,5.1294613,-3.3380697,7.475937,-8.5561905,1.3644632,-5.824309,-1.7401694,-6.8771195,3.5826266,-4.505804,-0.30293563,-6.285535,-2.8970087,-5.5911765,-4.403792,-3.016878,0.24884467,0.26588386,0.99525326,-2.3961895,-2.7629008,-1.7357893,0.6800141,0.76721776,-1.8392287,-4.922492,-4.792292,Ajith
21,-187.57613,116.18892,-14.280347,30.848108,-2.5422153,3.1688063,-6.4626107,6.354692,-12.157313,14.684129,-4.8302755,4.8161144,-5.803745,0.6975921,-1.5915724,8.963394,-4.7879286,0.14618179,-7.602074,-7.5410156,-9.4222355,1.4150639,-0.42528418,-0.8941777,-6.5510945,-4.1329865,-7.511893,-7.047502,-6.674188,-2.8355155,2.7541502,8.474347,3.633158,-4.199493,-6.1378036,-3.943188,-0.5603968,0.18216679,-0.9043369,-4.7875495,Ajith
22,-218.53146,122.60477,-4.8536983,33.21151,4.4557,7.411726,-1.5550449,11.881926,-9.176676,14.558826,-10.589045,11.690778,-8.860263,3.1994543,-3.768245,4.5446577,-7.6257787,1.8613914,-4.8356886,-4.1939874,-11.827802,2.6863358,-5.7474585,1.8801383,-4.719691,-2.7830133,-3.661298,-3.8096592,-4.3111606,-1.8514329,-0.2292307,1.9161123,-0.75109416,-3.503254,-2.7273445,-2.0161433,-1.6312231,-2.7478375,-1.295573,-2.7590525,Ajith
23,-192.37695,108.327095,-14.331036,33.653427,-2.7578793,8.187942,-6.0628104,9.809641,-13.878921,11.487548,-12.931977,8.059427,-9.092076,0.43681496,-5.7399144,5.107713,-4.9288225,6.09048,-6.8043747,-3.5114174,-8.558913,2.6554427,-3.7010856,-2.210222,-5.9954047,-2.5289998,-2.9662201,-1.7605791,-5.559842,-2.930811,1.0261302,3.5411568,-1.0069726,-2.8757615,-1.6941811,-1.2227885,-1.9443438,-2.403475,-0.86057764,-2.8355298,Ajith
24,-182.89163,107.267944,-17.777075,24.25434,-7.3479514,4.1070647,-12.325657,6.972383,-13.697107,9.686857,-6.447023,9.803745,-8.291778,0.10319891,-7.554788,2.1576366,-7.959987,0.7779444,-3.7056484,2.6831007,-3.6353626,2.0201778,-2.0896964,-2.4972277,-4.5681314,-2.3248208,-5.0592055,-2.1581664,-2.947655,-1.6988714,0.39846298,2.1037078,-1.7334418,-3.7540781,-1.5749384,-0.119200975,1.5310835,-1.1288528,-2.7222981,-1.8925201,Ajith
